name,binomial,class,brain,body
African Grey Parrot,Psittacus erithacus,Aves,5.7,330
American Crow,Corvus brachyrhynchos,Aves,10,8000
Common House Martin,Delichon urbica,Aves,0.43,19.55
Eurasian Reed Warbler,Acrocephalus scirpaceus,Aves,0.58,11.8
European Robin,Erithacus rubecula,Aves,0.62,16.35
Golden Eagle,Aquila chrysaetos,Aves,12,4536
Great Spotted Woodpecker, Dendrocopos major,Aves,2.7,85
House Sparrow,Passer domesticus,Aves,1,31.5
Hummingbird,Archilochus colubris,Aves,0.1512,3.6
Kori Bustard,Ardeotis kori,Aves,18,17000
Ostrich,Struthio camelus,Aves,26.34,171000
Owl,Bubo,Aves,2.2,2600
Quail,Coturnix coturnix,Aves,0.9,111
Tree Pippit,Anthus trivialis,Aves,0.62,23.4
aardvark,Orycteropus afer,Mammalia,72,55000
African Elephant,Loxodonta africana,Mammalia,5712,6654000
Arctic fox,Alopex lagopus,Mammalia,35.52,4870
Baboon,Papio,Mammalia,137,16700
Beaver,gobshititus singerus,Mammalia,45,2000
Black footed cat,Felis nigripes,Mammalia,20.09,1300
Bornean Orangutan,Pongo pygmaeus,Mammalia,370,118000
BottleNose Dolphin,Tursiops Truncatus,Mammalia,1600,454000
Bottlenose Dolphin,Tursiops aduncus,Mammalia,1400,300000
Brown throated sloth,Bradypus variegatus,Mammalia,15,676
Californian Sealion,Zalophus californianus,Mammalia,363,350000
Camel ,Camelus bactrianus,Mammalia,680,529000
Cat,Felis domesticus,Mammalia,25.6,3300
Chimpanzee,Pan troglodytes,Mammalia,420,43000
Cow,Bos primigenius,Mammalia,423,465000
Dog beagle,Canis lupus familiaris,Mammalia,72,1000
Domestic cat,Felis catus,Mammalia,30,3300
Donkey,Equus asinus,Mammalia,419,187100
Elephant Asian,Elephas maximus,Mammalia,4783,7000000
Flying Lemur,Galeopterus variegatus,Mammalia,6,1100
Giant Panda,Ailuropoda melanoleuca ,Mammalia,226,150000
Giraffe ,Giraffa camelopardalis,Mammalia,680,1215000
Goat,Capra aegagrus hircus,Mammalia,115,27660
Golden Hamster,Mesocricetus auratus,Mammalia,1,120
Gray Wolf,Canis Lupus,Mammalia,119.5,36330
Grizzly Bear,Ursus arctos ssp.,Mammalia,234,250000
Guinea pig,Cavia porcellus,Mammalia,5.5,1040
Hamadryas Baboon,Papio hamadryas,Mammalia,140,30000
Hindes Roack Rat,Aethomys hindei,Mammalia,1.42,146.3
Horse,Equus ferus caballus,Mammalia,532,465000
howler monkey,alouatta palliata,Mammalia,50,6445
Human,Homo Sapiens,Mammalia,1350,70000
Jaguar,Panthera onca,Mammalia,157,100000
Japanese Macaque,Macaca fuscata,Mammalia,60,5500
Koala,Phascolarctos cinereus,Mammalia,16,8000
Least weasel,Mustela nivalis,Mammalia,1.99,100
Lion,Panthera leo,Mammalia,240,175000
Mask palm civet,Paguma larvata,Mammalia,30.88,4300
Meerkat,Suricata suricata,Mammalia,10.28,730
Monito del Monte,Dromiciops glidroides,Mammalia,0.97,24.05
Mountain Gorilla,Gorilla gorilla beringei,Mammalia,430,136078
Mouse Lemur,Microcebus murinus,Mammalia,2,50
Nine-banded Armadillo,Dasypus novemcinctus,Mammalia,7.5,40000
Ocelot,Leopardus pardalis ,Mammalia,63.1,9525.5
Orca whale,Orcinus orca,Mammalia,5000,4000000
Pine marten,Martes martes,Mammalia,20,1300
Platypus,Ornithorhynchus anatinus,Mammalia,9,1700
Polar Bear,Ursus maritimus,Mammalia,498,365000
Rabbit,Lepus curpaeums,Mammalia,12,2500
Raccoon,Procyon lotor,Mammalia,39,4290
Rat,Rattus sp.,Mammalia,2,400
Rhesus Monkey,Macaca mulatta,Mammalia,179,6800
Sheep,Ovis Aries,Mammalia,140,8000
Sperm whale,,Mammalia,7800,57000000
Tiger,Panthera Tigris,Mammalia,263.5,306000
Two toed sloth ,Choloepus didactylus,Mammalia,16,6000
Walrus,Odobenus rosmarus,Mammalia,1126,1700000
warthog,Phacochoerus africanus,Mammalia,125,90000
West European Hedgehog,Erinaceus europaeus,Mammalia,3.8332,900
White eared Opossum,Didelphis albiventris,Mammalia,5.101,670
